Modelo;P@20;R@20;MRR@20;nDCG@20
bert-base-portuguese-cased-finetuned-tcu-acordaos_mean;0,088;0,1517740592740593;0,386720189253471;0,18009072688086802
bert-base-portuguese-cased-finetuned-tcu-acordaos_cls;0,06366666666666665;0,10663847263847263;0,2777901536028471;0,12374490541099742
bert-base-portuguese-cased_mean;0,08066666666666668;0,13904234654234657;0,37318804234980707;0,1694574455335731
bert-base-portuguese-cased_cls;0,03966666666666666;0,06661272061272061;0,1640236752411675;0,06975430648960797
bert-large-portuguese-cased_mean;0,10633333333333335;0,182471990971991;0,4145525749906555;0,20992187390288197
bert-large-portuguese-cased_cls;0,025;0,043304639804639805;0,12320171698499872;0,04707025428586833
Legal-BERTimbau-sts-large-ma-v3_mean;0,11166666666666666;0,1884171199171199;0,42243651649921;0,2154086881559778
Legal-BERTimbau-sts-large-ma-v3_cls;0,05766666666666668;0,0983996558996559;0,27260333729451375;0,11860056347260899
bert-large-portuguese-cased-legal-mlm-sts-v1,0_mean;0,20333333333333334;0,341466995966996;0,6716748436748436;0,4010632107467761
bert-large-portuguese-cased-legal-mlm-sts-v1,0_cls;0,16;0,27155753505753505;0,5457169083353294;0,3123541884939747
bert-large-portuguese-cased-legal-mlm-nli-sts-v1_mean;0,1726666666666667;0,29020139120139127;0,6120256132756133;0,34935996985123824
bert-large-portuguese-cased-legal-mlm-nli-sts-v1_cls;0,14766666666666667;0,2510297295297295;0,570479316979317;0,3039123107562194
paraphrase-multilingual-mpnet-base-v2_mean;0,16433333333333333;0,2748968623968624;0,5850585155585155;0,3356438565818044
paraphrase-multilingual-mpnet-base-v2_cls;0,10066666666666667;0,16856031006031005;0,5102294245715299;0,22660400560169844
