Modelo,P@10,R@10,MRR@10,nDCG@10
bert-base-portuguese-cased-finetuned-tcu-acordaos_mean,0.11,0.09213275613275612,0.3586904761904762,0.13438781175007466
bert-base-portuguese-cased-finetuned-tcu-acordaos_cls,0.066,0.05383949383949384,0.24141269841269838,0.08755840173728992
bert-base-portuguese-cased_mean,0.09400000000000003,0.07722177822177823,0.3240238095238095,0.11550764658186727
bert-base-portuguese-cased_cls,0.04800000000000001,0.04058674658674659,0.18302380952380953,0.05645312628137211
bert-large-portuguese-cased_mean,0.15599999999999997,0.13167476967476965,0.41780158730158734,0.18695619874520142
bert-large-portuguese-cased_cls,0.02,0.01762937062937063,0.05722222222222222,0.02339771939536737
Legal-BERTimbau-sts-large-ma-v3_mean,0.16599999999999998,0.1371788211788212,0.4637142857142857,0.2098867807517496
Legal-BERTimbau-sts-large-ma-v3_cls,0.09399999999999999,0.07816061716061717,0.29946825396825394,0.12054718051364001
bert-large-portuguese-cased-legal-mlm-sts-v1.0_mean,0.30200000000000005,0.2474896214896215,0.7134126984126985,0.38505013169890284
bert-large-portuguese-cased-legal-mlm-sts-v1.0_cls,0.228,0.18891308691308692,0.5871349206349206,0.28562274325526926
bert-large-portuguese-cased-legal-mlm-nli-sts-v1_mean,0.262,0.2161431901431901,0.6350476190476191,0.33401475075878756
bert-large-portuguese-cased-legal-mlm-nli-sts-v1_cls,0.22400000000000003,0.18760339660339664,0.5885238095238096,0.2985559966764406
paraphrase-multilingual-mpnet-base-v2_mean,0.24599999999999994,0.2028115218115218,0.6050793650793651,0.314589613244267
paraphrase-multilingual-mpnet-base-v2_cls,0.126,0.1031232101232101,0.4650000000000001,0.1818803770591486
bm25_padrao,0.37800000000000006,0.31763558663558666,0.8665,0.5106443358556976
